mp-707294 ZnP2H15C5NO9
mp-572601 SbPC3S3N3Cl3O
mp-19060 Sr2Mn3(AsO)2
mp-2291 Si2Ni
mp-1006615 CrCuN6Cl5
mp-622901 Co6C13(SO6)2
mp-1191675 BaNp(PO4)2
mp-7290 Er3GaS6
mp-641911 Ce(In2Pd)2
mp-1606 NbAu2
mp-1189764 Zr5FeSb3
mp-723426 NaLiP2(H4O5)2
mp-18341 ErPtF7
mp-1203076 Tm4Ga21Ni10
mp-1204184 Mn5As4(HO2)10
mp-571397 Cs3Tb10C4Cl21
mp-10143 TiB
mp-568727 ErRh3C
mp-1200977 Na3(PO3)4
mp-17306 KMo3(PO7)2
mp-29595 CeBN2
mp-1189532 Th3In5
mp-568847 K4GeSe4
mp-21666 Nb3(Fe10B3)2
mp-1200699 P2O3F4
mp-7972 RbLaO2
mp-1196825 ZrH12N5F4
mp-1196808 Mg3B2SO14
mp-561349 RbVPO5
mp-867965 Sm3MnAlS7
mp-696031 Zn2FeP2(H2O3)4
mp-774810 RbPHO3F
mp-1019082 RuN2
mp-20717 CrAs
mp-1204294 ZrMo2O11
mp-1203120 NpN4O11
mp-706653 H8S2N2O5
mp-1156 GaSb
mp-866687 Gd4Ga16Co3
mp-15888 Ba2YIrO6
mp-20590 La3InB
mp-568285 Np3As4
mp-540828 FeClO
mp-21029 Li2InPd
mp-555199 TlHgAsS3
mp-6376 KV(CuS2)2
mp-1018694 ErZnGa
mp-1102008 PrPO4
mp-20270 UWC2
mp-541108 Cd2Si(P2O7)2
mp-1079324 Cr3AsC
mp-21145 SrFeO2
mp-1195782 UP2S7
mp-1197995 Na2MgP4(H2O3)6
mp-558945 Hg3AsBrO4
mp-9764 Rb2NbAgSe4
mp-1199645 Mn2As2O9
mp-9767 BaAs2Pd
mp-1194432 Sc3Si3Ir
mp-16238 Li2AgSb
mp-11263 Zr3Au
mp-21667 CeZn(BO2)5
mp-1197212 ScReGe2
mp-556020 Li3AlF6
mp-672325 TbIn2Ni
mp-21418 MnSnPt
mp-6873 CaAlSiO4F
mp-1079467 YAu3
mp-1198506 Cu4H18C6S3I4
mp-1201834 CoBH18N6(ClF2)2
mp-1197076 BiC2O5
mp-1192352 K3Pr(PO4)2
mp-3412 Eu(CuSi)2
mp-26009 LiMo2P2O11
mp-1200509 MnH36(C5N)12
mp-975044 Li(SiRh)2
